,timestamp,building_id,energy_consumption,site_id,sqm,lat,lng,timezone,industry,yearbuilt,numberoffloors,occupants,airTemperature,anomaly
0,2017-01-03 07:00:00,Swan_unknown_Rudy,4311.9039,Swan,6394.6,,,US/Pacific,,2006.0,,,9.4,True
1,2017-01-03 09:00:00,Swan_unknown_Rudy,208.6414,Swan,6394.6,,,US/Pacific,,2006.0,,,10.6,False
2,2017-01-03 10:00:00,Swan_unknown_Rudy,209.0681,Swan,6394.6,,,US/Pacific,,2006.0,,,11.1,False
3,2017-01-03 11:00:00,Swan_unknown_Rudy,211.1833,Swan,6394.6,,,US/Pacific,,2006.0,,,11.7,False
4,2017-01-03 12:00:00,Swan_unknown_Rudy,211.8936,Swan,6394.6,,,US/Pacific,,2006.0,,,12.2,False
5,2017-01-03 13:00:00,Swan_unknown_Rudy,211.5136,Swan,6394.6,,,US/Pacific,,2006.0,,,12.2,False
6,2017-01-03 14:00:00,Swan_unknown_Rudy,209.2469,Swan,6394.6,,,US/Pacific,,2006.0,,,12.2,False
7,2017-01-03 15:00:00,Swan_unknown_Rudy,210.2783,Swan,6394.6,,,US/Pacific,,2006.0,,,12.2,False
8,2017-01-03 16:00:00,Swan_unknown_Rudy,210.8333,Swan,6394.6,,,US/Pacific,,2006.0,,,12.2,False
9,2017-01-03 17:00:00,Swan_unknown_Rudy,210.1639,Swan,6394.6,,,US/Pacific,,2006.0,,,12.8,False
10,2017-01-03 18:00:00,Swan_unknown_Rudy,208.12,Swan,6394.6,,,US/Pacific,,2006.0,,,12.2,False
11,2017-01-03 19:00:00,Swan_unknown_Rudy,206.9597,Swan,6394.6,,,US/Pacific,,2006.0,,,12.2,False
12,2017-01-03 20:00:00,Swan_unknown_Rudy,208.2089,Swan,6394.6,,,US/Pacific,,2006.0,,,12.8,False
13,2017-01-03 21:00:00,Swan_unknown_Rudy,205.9667,Swan,6394.6,,,US/Pacific,,2006.0,,,12.8,False
14,2017-01-03 22:00:00,Swan_unknown_Rudy,205.9217,Swan,6394.6,,,US/Pacific,,2006.0,,,12.8,False
15,2017-01-03 23:00:00,Swan_unknown_Rudy,205.6439,Swan,6394.6,,,US/Pacific,,2006.0,,,12.8,False
16,2017-01-04 00:00:00,Swan_unknown_Rudy,203.1392,Swan,6394.6,,,US/Pacific,,2006.0,,,12.2,False
17,2017-01-04 01:00:00,Swan_unknown_Rudy,204.7103,Swan,6394.6,,,US/Pacific,,2006.0,,,12.8,False
18,2017-01-04 02:00:00,Swan_unknown_Rudy,206.2042,Swan,6394.6,,,US/Pacific,,2006.0,,,13.3,False
19,2017-01-04 03:00:00,Swan_unknown_Rudy,205.0558,Swan,6394.6,,,US/Pacific,,2006.0,,,13.9,False
